gas,CO,hydrogen,class
211,148,336,1
208,146,334,1
208,147,335,1
208,147,335,1
207,147,334,1
208,147,335,1
207,147,334,1
206,146,333,1
205,146,332,1
204,146,332,1
203,146,331,1
202,145,329,1
201,145,329,1
208,152,334,1
206,151,332,1
204,149,331,1
204,149,331,1
200,144,322,1
202,148,330,1
193,141,318,1
187,137,307,1
188,136,306,1
189,137,307,1
187,136,302,1
193,140,309,1
195,141,310,1
196,140,310,1
197,140,310,1
198,140,310,1
198,140,310,1
197,140,311,1
191,140,311,1
189,140,312,1
200,141,312,1
206,141,312,1
208,141,312,1
205,140,312,1
207,141,310,1
208,140,310,1
210,140,311,1
210,140,310,1
210,139,310,1
209,139,310,1
209,140,310,1
208,139,309,1
208,139,310,1
208,139,309,1
205,139,309,1
207,139,309,1
209,139,309,1
210,141,309,1
210,141,309,1
210,140,308,1
209,139,308,1
209,139,308,1
210,139,308,1
208,140,308,1
209,139,308,1
210,139,307,1
209,138,307,1
210,139,307,1
210,138,307,1
210,138,306,1
210,138,307,1
211,139,307,1
211,139,307,1
211,139,307,1
211,139,306,1
201,138,306,1
192,139,306,1
205,138,304,1
215,141,306,1
218,140,306,1
219,140,306,1
219,141,307,1
220,142,308,1
219,142,306,1
218,141,306,1
218,141,306,1
218,141,306,1
217,141,305,1
217,141,305,1
217,141,305,1
216,141,305,1
216,140,305,1
216,140,305,1
216,140,305,1
215,140,304,1
215,140,304,1
214,140,304,1
214,140,304,1
214,140,304,1
215,140,303,1
215,139,303,1
215,140,303,1
215,140,303,1
213,140,303,1
214,139,303,1
215,140,303,1
214,139,302,1
214,139,302,1
213,136,299,1
210,132,297,1
216,140,303,1
215,139,302,1
215,139,302,1
215,139,302,1
214,139,301,1
212,140,302,1
213,139,301,1
214,139,301,1
214,139,301,1
214,139,301,1
210,138,300,1
214,139,300,1
215,138,300,1
215,139,300,1
216,138,300,1
217,139,300,1
217,139,300,1
215,139,300,1
216,138,300,1
218,138,299,1
218,139,300,1
219,138,299,1
218,138,299,1
216,138,299,1
212,137,298,1
217,137,298,1
218,137,298,1
219,137,298,1
219,137,298,1
218,136,297,1
217,137,298,1
217,137,297,1
216,136,297,1
216,137,297,1
213,137,297,1
216,137,297,1
216,137,297,1
218,137,297,1
218,138,297,1
215,136,293,1
214,137,293,1
215,137,293,1
204,97,274,2
198,94,266,2
190,94,258,2
199,95,271,2
185,111,253,2
183,103,251,2
181,102,248,2
215,126,283,2
286,156,333,2
295,117,324,2
139,89,132,2
250,139,237,2
309,136,313,2
314,139,388,2
335,114,370,2
301,107,331,2
277,104,315,2
369,107,309,2
326,106,304,2
332,102,298,2
330,95,293,2
405,93,289,2
369,93,287,2
331,98,286,2
336,97,284,2
358,97,286,2
314,96,294,2
287,100,316,2
269,101,328,2
256,103,300,2
250,100,296,2
237,95,280,2
233,106,289,2
230,144,403,2
217,98,365,2
217,90,327,2
228,154,361,2
218,99,338,2
301,94,326,2
346,92,306,2
309,92,301,2
286,91,294,2
268,93,288,2
254,94,282,2
326,87,268,2
282,483,333,2
272,549,341,2
424,190,328,2
528,155,304,2
551,129,286,2
539,113,278,2
491,106,273,2
420,100,285,2
377,183,369,2
339,112,426,2
398,103,412,2
376,101,357,2
423,106,328,2
364,109,359,2
345,118,410,2
414,132,373,2
434,119,462,2
472,166,465,2
515,138,439,2
482,120,436,2
516,120,410,2
448,110,427,2
434,165,446,2
498,175,494,2
477,160,447,2
495,116,410,2
580,112,375,2
673,97,343,2
598,98,316,2
487,102,306,2
481,100,405,2
395,162,333,2
347,174,302,2
325,183,292,2
356,144,302,2
365,140,316,2
340,119,337,2
303,109,314,2
289,108,302,2
271,100,285,2
300,128,367,2
305,124,347,2
334,162,363,2
285,94,300,2
290,109,319,2
335,108,329,2
269,101,312,2
286,142,352,2
279,117,327,2
298,134,359,2
296,104,320,2
284,101,315,2
252,87,286,2
316,130,336,2
323,106,329,2
274,108,320,2
241,85,284,2
304,84,278,2
249,81,271,2
262,92,289,2
252,88,281,2
253,91,284,2
246,94,286,2
302,127,333,2
289,105,315,2
270,102,313,2
272,103,312,2
256,98,300,2
236,90,286,2
236,88,278,2
224,83,269,2
224,85,270,2
222,83,267,2
234,104,299,2
296,108,319,2
260,91,292,2
236,85,275,2
227,85,271,2
219,83,267,2
212,80,262,2
206,79,259,2
220,95,275,2
226,89,274,2
216,85,266,2
209,85,265,2
203,81,260,2
199,79,256,2
196,78,254,2
325,117,327,2
266,104,320,2
250,86,285,2
246,93,288,2
276,113,332,2
254,99,300,2
259,88,281,2
250,92,284,2
299,113,300,2
298,117,308,2
276,105,310,2
246,87,281,2
235,86,272,2
230,84,264,2
220,82,260,2
213,80,256,2
208,83,257,2
216,91,272,2
222,94,277,2
221,87,270,2
230,87,269,2
247,107,293,2
286,108,316,2
254,103,297,2
235,96,286,2
283,118,325,2
254,102,300,2
234,89,278,2
221,84,266,2
227,88,270,2
146,88,243,1
145,89,243,1
146,88,244,1
145,88,243,1
145,88,243,1
145,87,243,1
145,87,242,1
145,87,242,1
145,87,242,1
145,87,242,1
144,87,242,1
144,87,241,1
144,87,241,1
144,87,241,1
144,87,241,1
144,87,241,1
144,86,241,1
144,86,241,1
144,85,240,1
143,86,240,1
143,85,240,1
143,86,240,1
143,87,240,1
143,86,240,1
143,85,240,1
143,85,240,1
143,84,239,1
143,81,239,1
142,80,239,1
142,80,239,1
142,80,239,1
142,80,239,1
142,80,239,1
142,80,238,1
142,80,238,1
142,80,238,1
142,80,238,1
142,80,238,1
142,81,238,1
142,81,238,1
141,80,238,1
141,80,237,1
141,81,237,1
141,81,237,1
141,82,237,1
141,81,237,1
141,81,237,1
141,81,237,1
141,81,237,1
141,81,236,1
141,80,236,1
141,80,236,1
141,80,236,1
140,80,236,1
140,80,236,1
140,80,236,1
140,80,236,1
140,79,236,1
140,80,236,1
140,80,235,1
140,80,235,1
140,80,235,1
140,80,235,1
140,80,235,1
140,79,235,1
140,79,235,1
140,79,234,1
139,80,234,1
139,80,234,1
139,80,234,1
139,80,234,1
139,80,234,1
139,79,234,1
139,79,234,1
139,79,234,1
139,79,233,1
139,79,233,1
139,79,233,1
139,79,233,1
139,79,233,1
138,79,233,1
138,79,233,1
138,79,232,1
138,79,233,1
139,79,233,1
139,79,233,1
139,79,233,1
139,78,233,1
139,78,233,1
139,78,232,1
138,78,232,1
138,78,232,1
138,78,232,1
138,78,232,1
138,78,232,1
138,78,232,1
138,78,232,1
138,78,231,1
138,78,231,1
138,78,231,1
138,78,231,1
138,78,232,1
137,78,231,1
137,78,230,1
137,78,231,1
137,78,230,1
137,77,230,1
137,78,230,1
137,77,230,1
137,77,230,1
137,77,230,1
137,77,230,1
137,77,230,1
137,77,230,1
137,77,229,1
137,77,229,1
136,77,229,1
136,77,229,1
136,78,229,1
136,77,229,1
136,77,229,1
136,77,229,1
136,77,229,1
136,77,228,1
136,77,229,1
136,77,228,1
136,77,228,1
136,77,228,1
136,77,228,1
136,77,228,1
136,77,228,1
136,77,228,1
136,77,227,1
136,76,227,1
136,77,227,1
136,77,228,1
136,77,227,1
135,77,227,1
136,77,227,1
136,77,227,1
135,77,227,1
135,77,227,1
135,77,227,1
135,77,226,1
135,77,227,1
135,77,226,1
135,77,226,1
135,77,226,1
135,77,227,1
135,76,226,1
135,76,226,1
135,77,226,1
135,77,226,1
134,76,226,1
135,77,226,1
135,76,226,1
134,76,226,1
135,77,225,1
134,77,225,1
134,76,225,1
134,76,225,1
134,76,225,1
134,76,225,1
134,77,225,1
134,76,225,1
134,77,225,1
134,76,225,1
134,76,225,1
134,76,225,1
134,76,224,1
134,76,224,1
134,76,224,1
134,76,224,1
134,76,224,1
134,76,224,1
134,76,224,1
134,76,224,1
134,76,224,1
134,76,224,1
134,77,224,1
