gas,CO,hydrogen
211,148,336
208,146,334
208,147,335
208,147,335
207,147,334
208,147,335
207,147,334
206,146,333
205,146,332
204,146,332
203,146,331
202,145,329
201,145,329
208,152,334
206,151,332
204,149,331
204,149,331
200,144,322
202,148,330
193,141,318
187,137,307
188,136,306
189,137,307
187,136,302
193,140,309
195,141,310
196,140,310
197,140,310
198,140,310
198,140,310
197,140,311
191,140,311
189,140,312
200,141,312
206,141,312
208,141,312
205,140,312
207,141,310
208,140,310
210,140,311
210,140,310
210,139,310
209,139,310
209,140,310
208,139,309
208,139,310
208,139,309
205,139,309
207,139,309
209,139,309
210,141,309
210,141,309
210,140,308
209,139,308
209,139,308
210,139,308
208,140,308
209,139,308
210,139,307
209,138,307
210,139,307
210,138,307
210,138,306
210,138,307
211,139,307
211,139,307
211,139,307
211,139,306
201,138,306
192,139,306
205,138,304
215,141,306
218,140,306
219,140,306
219,141,307
220,142,308
219,142,306
218,141,306
218,141,306
218,141,306
217,141,305
217,141,305
217,141,305
216,141,305
216,140,305
216,140,305
216,140,305
215,140,304
215,140,304
214,140,304
214,140,304
214,140,304
215,140,303
215,139,303
215,140,303
215,140,303
213,140,303
214,139,303
215,140,303
214,139,302
214,139,302
213,136,299
210,132,297
216,140,303
215,139,302
215,139,302
215,139,302
214,139,301
212,140,302
213,139,301
214,139,301
214,139,301
214,139,301
210,138,300
214,139,300
215,138,300
215,139,300
216,138,300
217,139,300
217,139,300
215,139,300
216,138,300
218,138,299
218,139,300
219,138,299
218,138,299
216,138,299
212,137,298
217,137,298
218,137,298
219,137,298
219,137,298
218,136,297
217,137,298
217,137,297
216,136,297
216,137,297
213,137,297
216,137,297
216,137,297
218,137,297
218,138,297
215,136,293
214,137,293
215,137,293
204,97,274
198,94,266
190,94,258
199,95,271
185,111,253
183,103,251
181,102,248
215,126,283
286,156,333
295,117,324
139,89,132
250,139,237
309,136,313
314,139,388
335,114,370
301,107,331
277,104,315
369,107,309
326,106,304
332,102,298
330,95,293
405,93,289
369,93,287
331,98,286
336,97,284
358,97,286
314,96,294
287,100,316
269,101,328
256,103,300
250,100,296
237,95,280
233,106,289
230,144,403
217,98,365
217,90,327
228,154,361
218,99,338
301,94,326
346,92,306
309,92,301
286,91,294
268,93,288
254,94,282
326,87,268
282,483,333
272,549,341
424,190,328
528,155,304
551,129,286
539,113,278
491,106,273
420,100,285
377,183,369
339,112,426
398,103,412
376,101,357
423,106,328
364,109,359
345,118,410
414,132,373
434,119,462
472,166,465
515,138,439
482,120,436
516,120,410
448,110,427
434,165,446
498,175,494
477,160,447
495,116,410
580,112,375
673,97,343
598,98,316
487,102,306
481,100,405
395,162,333
347,174,302
325,183,292
356,144,302
365,140,316
340,119,337
303,109,314
289,108,302
271,100,285
300,128,367
305,124,347
334,162,363
285,94,300
290,109,319
335,108,329
269,101,312
286,142,352
279,117,327
298,134,359
296,104,320
284,101,315
252,87,286
316,130,336
323,106,329
274,108,320
241,85,284
304,84,278
249,81,271
262,92,289
252,88,281
253,91,284
246,94,286
302,127,333
289,105,315
270,102,313
272,103,312
256,98,300
236,90,286
236,88,278
224,83,269
224,85,270
222,83,267
234,104,299
296,108,319
260,91,292
236,85,275
227,85,271
219,83,267
212,80,262
206,79,259
220,95,275
226,89,274
216,85,266
209,85,265
203,81,260
199,79,256
196,78,254
325,117,327
266,104,320
250,86,285
246,93,288
276,113,332
254,99,300
259,88,281
250,92,284
299,113,300
298,117,308
276,105,310
246,87,281
235,86,272
230,84,264
220,82,260
213,80,256
208,83,257
216,91,272
222,94,277
221,87,270
230,87,269
247,107,293
286,108,316
254,103,297
235,96,286
283,118,325
254,102,300
234,89,278
221,84,266
227,88,270
